▲ Next.js 16.2.6 (Turbopack)
- Local:         http://localhost:3001
- Network:       http://192.168.0.25:3001
- Environments: .env.local
✓ Ready in 607ms

⚠ metadataBase property in metadata export is not set for resolving social open graph or twitter images, using "http://localhost:3001". See https://nextjs.org/docs/app/api-reference/functions/generate-metadata#metadatabase
⚠ metadataBase property in metadata export is not set for resolving social open graph or twitter images, using "http://localhost:3001". See https://nextjs.org/docs/app/api-reference/functions/generate-metadata#metadatabase
 GET /ja 200 in 1076ms (next.js: 497ms, proxy.ts: 157ms, application-code: 422ms)
 GET /en 200 in 96ms (next.js: 12ms, proxy.ts: 6ms, application-code: 78ms)
 GET /en 200 in 89ms (next.js: 6ms, proxy.ts: 5ms, application-code: 77ms)
 GET /ja 200 in 95ms (next.js: 6ms, proxy.ts: 7ms, application-code: 82ms)
 GET /ja 200 in 75ms (next.js: 5ms, proxy.ts: 5ms, application-code: 65ms)
 GET /ja 200 in 82ms (next.js: 5ms, proxy.ts: 6ms, application-code: 71ms)
 GET /ja 200 in 88ms (next.js: 8ms, proxy.ts: 7ms, application-code: 74ms)
 GET /en/patches 200 in 1080ms (next.js: 924ms, proxy.ts: 5ms, application-code: 151ms)
 GET /en/patches 200 in 89ms (next.js: 13ms, proxy.ts: 5ms, application-code: 71ms)
 GET /en/patches 200 in 74ms (next.js: 7ms, proxy.ts: 5ms, application-code: 62ms)
 GET /en/champions/Garen 200 in 1174ms (next.js: 1025ms, proxy.ts: 6ms, application-code: 142ms)
 GET /en/champions/Garen 200 in 105ms (next.js: 17ms, proxy.ts: 6ms, application-code: 82ms)
 GET /ja 200 in 104ms (next.js: 14ms, proxy.ts: 6ms, application-code: 85ms)
 GET /en 200 in 84ms (next.js: 6ms, proxy.ts: 5ms, application-code: 72ms)
 GET /ja/champions 200 in 1284ms (next.js: 947ms, proxy.ts: 5ms, application-code: 332ms)
 GET /en/champions 200 in 326ms (next.js: 18ms, proxy.ts: 8ms, application-code: 301ms)
 GET /ja/champions/Norra 200 in 117ms (next.js: 12ms, proxy.ts: 4ms, application-code: 101ms)
 GET /en/champions/Norra 200 in 124ms (next.js: 6ms, proxy.ts: 7ms, application-code: 111ms)
 GET /ja 200 in 88ms (next.js: 12ms, proxy.ts: 5ms, application-code: 71ms)
 GET /ja 200 in 91ms (next.js: 6ms, proxy.ts: 6ms, application-code: 79ms)
 GET /ja 200 in 78ms (next.js: 6ms, proxy.ts: 5ms, application-code: 67ms)
 GET /ja 200 in 79ms (next.js: 6ms, proxy.ts: 5ms, application-code: 68ms)
 GET /ja 200 in 94ms (next.js: 5ms, proxy.ts: 6ms, application-code: 83ms)
 GET /en/patches?q=NonExistentChampionXYZ 200 in 107ms (next.js: 13ms, proxy.ts: 6ms, application-code: 89ms)
 GET /ja/patches?q=NonExistentChampionXYZ 200 in 86ms (next.js: 6ms, proxy.ts: 5ms, application-code: 75ms)
 GET /en/champions/Norra 200 in 115ms (next.js: 15ms, proxy.ts: 6ms, application-code: 94ms)
 GET /en/champions/Garen 200 in 90ms (next.js: 5ms, proxy.ts: 4ms, application-code: 80ms)
 GET /en/champions/Garen 200 in 109ms (next.js: 6ms, proxy.ts: 5ms, application-code: 99ms)
 GET /en/champions/InvalidChampionName123 200 in 107ms (next.js: 7ms, proxy.ts: 5ms, application-code: 96ms)
 GET /en/patches?q=Garen%27s 200 in 86ms (next.js: 12ms, proxy.ts: 4ms, application-code: 70ms)
 GET /en/patches 200 in 78ms (next.js: 6ms, proxy.ts: 5ms, application-code: 67ms)
 GET /en/calculator 200 in 1081ms (next.js: 948ms, proxy.ts: 5ms, application-code: 127ms)
 GET /en/calculator 200 in 103ms (next.js: 13ms, proxy.ts: 4ms, application-code: 85ms)
 GET /ja/calculator 200 in 89ms (next.js: 6ms, proxy.ts: 6ms, application-code: 77ms)
 GET /ja 200 in 105ms (next.js: 12ms, proxy.ts: 5ms, application-code: 88ms)
 GET /en 200 in 100ms (next.js: 5ms, proxy.ts: 5ms, application-code: 90ms)
 GET /en/patches 200 in 109ms (next.js: 14ms, proxy.ts: 5ms, application-code: 90ms)
 GET /ja/champions/Norra 200 in 103ms (next.js: 14ms, proxy.ts: 5ms, application-code: 84ms)
 GET /en/calculator 200 in 109ms (next.js: 12ms, proxy.ts: 6ms, application-code: 90ms)
 GET /en/patches 200 in 86ms (next.js: 7ms, proxy.ts: 6ms, application-code: 73ms)
 GET /en 200 in 107ms (next.js: 14ms, proxy.ts: 5ms, application-code: 89ms)
 GET /en/champions 200 in 346ms (next.js: 18ms, proxy.ts: 7ms, application-code: 321ms)
